Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,unixtime,new,rain
1092,D1,2011,2012-03-31,Nurnberg,Bayern Munich,0,1,A,1. FC Nürnberg ,Nurnberg,Nuremberg ,Grundig-Stadion ,50000,49.426111,11.125833,Germany,1333170000,1097,0
1093,D1,2011,2011-12-11,Stuttgart,Bayern Munich,1,2,A,VfB Stuttgart ,Stuttgart,Stuttgart ,Mercedes-Benz Arena ,60441,48.792269,9.232031,Germany,1323583200,1098,0
1094,D1,2011,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,VfL Wolfsburg ,Wolfsburg,Wolfsburg ,Volkswagen Arena ,30000,52.431943999999994,10.803889,Germany,1313211600,1099,0
1095,D1,2011,2011-11-27,Mainz,Bayern Munich,3,2,H,1. FSV Mainz 05 ,Mainz,Mainz ,Coface Arena ,34000,49.984167,8.224167,Germany,1322373600,1100,0
1096,D1,2011,2012-02-18,Freiburg,Bayern Munich,0,0,D,SC Freiburg ,Freiburg,Freiburg ,MAGE SOLAR Stadion ,24000,47.988889,7.893056,Germany,1329544800,1101,0
1097,D1,2011,2012-01-20,M'gladbach,Bayern Munich,3,1,H,Borussia Mönchengladbach ,M'gladbach,Mönchengladbach ,Borussia-Park ,54010,51.174583,6.385464,Germany,1327039200,1102,0.86
1098,D1,2011,2012-02-04,Hamburg,Bayern Munich,1,1,D,Hamburger SV ,Hamburg,Hamburg ,Imtech Arena ,57000,53.587157999999995,9.898617,Germany,1328335200,1103,0
1099,D1,2011,2012-04-21,Werder Bremen,Bayern Munich,1,2,A,Werder Bremen ,Werder Bremen,Bremen ,Weserstadion ,42100,53.066393999999995,8.837628,Germany,1334984400,1104,0.19
1100,D1,2011,2011-09-18,Schalke 04,Bayern Munich,0,2,A,Schalke 04 ,Schalke 04,Gelsenkirchen ,Veltins-Arena ,61673,51.554503000000004,7.067589,Germany,1316322000,1105,1
1101,D1,2011,2011-10-23,Hannover,Bayern Munich,2,1,H,Hannover 96 ,Hannover,Hanover ,HDI-Arena ,49000,52.360067,9.731197,Germany,1319346000,1106,0
1102,D1,2011,2011-10-01,Hoffenheim,Bayern Munich,0,0,D,TSG 1899 Hoffenheim ,Hoffenheim,Sinsheim ,Rhein-Neckar Arena ,30150,49.239008,8.888281,Germany,1317445200,1107,0
1103,D1,2011,2012-03-03,Leverkusen,Bayern Munich,2,0,H,Bayer Leverkusen ,Leverkusen,Leverkusen ,BayArena ,30210,51.038256,7.002206,Germany,1330754400,1108,0
1104,D1,2011,2011-08-27,Kaiserslautern,Bayern Munich,0,3,A,1. FC Kaiserslautern ,Kaiserslautern,Kaiserslautern ,Fritz-Walter-Stadion ,49780,49.434722,7.776667,Germany,1314421200,1109,1
1105,D1,2011,2012-03-17,Hertha,Bayern Munich,0,6,A,Hertha BSC ,Hertha,Berlin ,Olympiastadion ,74244,52.514722,13.239444,Germany,1331960400,1110,0
1106,D1,2011,2011-11-06,Augsburg,Bayern Munich,1,2,A,FC Augsburg ,Augsburg,Augsburg ,SGL arena ,30660,48.3225,10.882222,Germany,1320555600,1111,0
